date,sentiment_mean,sentiment_std,tweet_count,positive_ratio,negative_ratio,neutral_ratio,weighted_sentiment_mean
2025-11-01,0.3983,0.4894,119,0.6471,0.1176,0.2353,0.4272
2025-11-02,0.3648,0.4687,120,0.6750,0.1417,0.1833,0.3717
2025-11-03,0.2873,0.5418,120,0.5833,0.2000,0.2167,0.3312
2025-11-04,0.3621,0.4630,120,0.6833,0.1417,0.1750,0.3617
2025-11-05,0.4060,0.5298,120,0.6750,0.1750,0.1500,0.4308
2025-11-06,0.3565,0.5178,120,0.6333,0.1917,0.1750,0.3366
2025-11-07,0.2649,0.4705,120,0.5250,0.1667,0.3083,0.2776
2025-11-08,0.3958,0.4713,120,0.7000,0.1333,0.1667,0.4070
2025-11-09,0.3864,0.4535,120,0.6333,0.1000,0.2667,0.3856
2025-11-10,0.2911,0.4866,120,0.5833,0.1583,0.2583,0.3239
2025-11-11,0.3032,0.5108,120,0.6250,0.2083,0.1667,0.2722
2025-11-12,0.2228,0.5225,120,0.4833,0.2250,0.2917,0.2455
2025-11-13,0.2879,0.5638,120,0.6333,0.2333,0.1333,0.2933
2025-11-14,0.1593,0.5447,120,0.4583,0.2667,0.2750,0.1512
2025-11-15,0.2310,0.5785,120,0.5833,0.2250,0.1917,0.2366
2025-11-16,0.2962,0.5448,120,0.6083,0.2000,0.1917,0.3019
2025-11-17,0.2126,0.5056,120,0.5167,0.2250,0.2583,0.2508
2025-11-18,0.2950,0.4665,120,0.5750,0.1667,0.2583,0.3067
2025-11-19,0.3378,0.4847,120,0.6333,0.1167,0.2500,0.3861
2025-11-20,0.1876,0.4849,120,0.5333,0.2417,0.2250,0.1970
2025-11-21,0.2029,0.5035,120,0.5417,0.2250,0.2333,0.1912
2025-11-22,0.2895,0.5454,120,0.5750,0.2417,0.1833,0.2910
2025-11-23,0.2657,0.5668,120,0.6000,0.2250,0.1750,0.2661
2025-11-24,0.2777,0.5226,120,0.5917,0.1833,0.2250,0.2732
2025-11-25,0.3000,0.4718,120,0.6333,0.1750,0.1917,0.3137
2025-11-26,0.3388,0.4690,119,0.6555,0.1597,0.1849,0.3613
2025-11-27,0.3111,0.5150,119,0.6050,0.2101,0.1849,0.2827
2025-11-28,0.3390,0.5300,120,0.6167,0.1417,0.2417,0.3404
2025-11-29,0.3205,0.5318,120,0.6083,0.1917,0.2000,0.3505
2025-11-30,0.3145,0.5203,120,0.6167,0.2083,0.1750,0.2835
2025-12-01,0.1666,0.5032,120,0.4750,0.2333,0.2917,0.1646
2025-12-02,0.2466,0.5446,120,0.5500,0.2333,0.2167,0.2579
2025-12-03,0.2316,0.5289,120,0.5083,0.2167,0.2750,0.2395
2025-12-04,0.3878,0.5023,120,0.6833,0.1083,0.2083,0.3581
2025-12-05,0.2820,0.4845,120,0.6000,0.1833,0.2167,0.2823
2025-12-06,0.2296,0.5469,120,0.5750,0.2500,0.1750,0.2320
2025-12-07,0.3255,0.5119,120,0.6083,0.1750,0.2167,0.3271
2025-12-08,0.3693,0.5350,120,0.6417,0.1667,0.1917,0.3680
2025-12-09,0.3244,0.5121,120,0.6250,0.1667,0.2083,0.3545
