bucket,sentiment_mean,tweet_count,weighted_sentiment_mean
2025-07-28 12:00:00,0.3000,20,0.3039
2025-07-28 16:00:00,0.2127,20,0.2631
2025-07-28 20:00:00,0.2173,20,0.1961
2025-07-29 00:00:00,0.4119,20,0.4327
2025-07-29 04:00:00,0.2897,20,0.3231
2025-07-29 08:00:00,0.2983,20,0.3019
2025-07-29 12:00:00,0.3811,20,0.3185
2025-07-29 16:00:00,0.3588,20,0.3355
2025-07-29 20:00:00,0.1373,20,0.1072
2025-07-30 00:00:00,0.0913,20,0.0924
2025-07-30 04:00:00,0.3153,20,0.3711
2025-07-30 08:00:00,0.2309,20,0.2458
2025-07-30 12:00:00,0.3103,20,0.3826
2025-07-30 16:00:00,0.2337,20,0.1933
2025-07-30 20:00:00,0.2623,20,0.3421
2025-07-31 00:00:00,0.2770,19,0.2687
2025-07-31 04:00:00,0.4790,20,0.4692
2025-07-31 08:00:00,0.3460,20,0.3789
2025-07-31 12:00:00,0.2924,20,0.2984
2025-07-31 16:00:00,0.3625,20,0.4523
2025-07-31 20:00:00,0.5129,20,0.5332
2025-08-01 00:00:00,0.1708,20,0.1655
2025-08-01 04:00:00,0.3453,20,0.2979
2025-08-01 08:00:00,0.2361,20,0.2038
2025-08-01 12:00:00,0.0593,20,0.0502
2025-08-01 16:00:00,0.3808,20,0.4431
2025-08-01 20:00:00,0.4316,20,0.4729
2025-08-02 00:00:00,0.3550,20,0.3743
2025-08-02 04:00:00,0.1737,20,0.2028
2025-08-02 08:00:00,0.4932,20,0.5516
2025-08-02 12:00:00,0.1886,20,0.2219
2025-08-02 16:00:00,0.3993,20,0.3770
2025-08-02 20:00:00,0.2467,20,0.2594
2025-08-03 00:00:00,0.1604,20,0.2079
2025-08-03 04:00:00,0.5776,20,0.5805
2025-08-03 08:00:00,0.2101,20,0.1581
2025-08-03 12:00:00,0.3427,20,0.3231
2025-08-03 16:00:00,0.3217,20,0.3887
2025-08-03 20:00:00,0.3399,20,0.2864
2025-08-04 00:00:00,0.1222,20,0.1264
2025-08-04 04:00:00,0.4994,20,0.5158
2025-08-04 08:00:00,0.2944,20,0.2685
2025-08-04 12:00:00,0.2090,20,0.1878
2025-08-04 16:00:00,0.2581,20,0.2124
2025-08-04 20:00:00,0.0994,20,0.0796
2025-08-05 00:00:00,0.1274,20,0.0953
2025-08-05 04:00:00,0.5409,20,0.6004
2025-08-05 08:00:00,0.2547,20,0.2887
2025-08-05 12:00:00,0.4235,20,0.4718
2025-08-05 16:00:00,0.4861,20,0.5544
2025-08-05 20:00:00,0.3681,20,0.3988
2025-08-06 00:00:00,0.3431,20,0.3872
2025-08-06 04:00:00,0.4772,20,0.4521
2025-08-06 08:00:00,0.1364,20,0.1687
2025-08-06 12:00:00,0.1458,20,0.1181
2025-08-06 16:00:00,0.4872,20,0.4716
2025-08-06 20:00:00,0.2979,20,0.3429
2025-08-07 00:00:00,0.2157,20,0.2288
2025-08-07 04:00:00,0.3855,20,0.4229
2025-08-07 08:00:00,0.1943,20,0.1853
2025-08-07 12:00:00,0.0837,20,-0.0301
2025-08-07 16:00:00,0.3563,19,0.3284
2025-08-07 20:00:00,0.1943,20,0.2366
2025-08-08 00:00:00,0.4669,20,0.5569
2025-08-08 04:00:00,0.4569,20,0.4716
2025-08-08 08:00:00,0.4220,20,0.4005
2025-08-08 12:00:00,0.2946,20,0.3480
2025-08-08 16:00:00,0.3579,20,0.3380
2025-08-08 20:00:00,0.3377,20,0.3590
2025-08-09 00:00:00,0.5338,20,0.5667
2025-08-09 04:00:00,0.2782,20,0.3142
2025-08-09 08:00:00,0.4665,20,0.4982
2025-08-09 12:00:00,0.5719,20,0.5843
2025-08-09 16:00:00,0.1305,20,0.1448
2025-08-09 20:00:00,0.1327,20,0.2048
2025-08-10 00:00:00,0.2316,20,0.2059
2025-08-10 04:00:00,0.5042,20,0.5589
2025-08-10 08:00:00,0.2724,20,0.3061
2025-08-10 12:00:00,0.2318,20,0.2197
2025-08-10 16:00:00,0.3590,20,0.3317
2025-08-10 20:00:00,0.1569,20,0.2237
2025-08-11 00:00:00,0.2703,20,0.1954
