date,sentiment_mean,tweet_count
2022-02-04,0.6096,31
2022-02-05,0.7810,2
2022-02-06,0.3567,3
2022-02-07,0.2141,13
2022-02-08,0.5504,28
2022-02-09,0.4991,15
2022-02-10,0.6946,9
2022-02-11,0.3337,23
2022-02-12,-0.9500,1
2022-02-13,0.2490,2
2022-02-14,0.4294,20
2022-02-15,0.3311,14
2022-02-16,0.4528,35
2022-02-17,0.3319,8
2022-02-18,0.5376,24
2022-02-19,-0.7620,3
2022-02-20,-0.1780,2
2022-02-21,-0.0445,8
2022-02-22,0.4641,29
2022-02-23,0.2481,14
2022-02-24,0.1313,16
2022-02-25,-0.0348,30
2022-02-26,-0.1141,7
2022-02-27,0.1835,2
2022-02-28,0.1570,23
2022-03-01,-0.1389,15
2022-03-02,0.3217,32
2022-03-03,0.1383,15
2022-03-04,0.3098,43
2022-03-05,0.5620,7
2022-03-06,-0.2343,4
2022-03-07,0.0826,39
2022-03-08,0.3895,34
2022-03-09,0.4353,24
2022-03-10,0.2751,25
2022-03-11,0.4243,36
2022-03-12,-0.0450,8
2022-03-13,0.1275,2
2022-03-14,0.3675,24
2022-03-15,0.1048,21
2022-03-16,0.3374,37
2022-03-17,0.4067,37
2022-03-18,0.4397,38
2022-03-19,0.3833,10
2022-03-20,0.4514,11
2022-03-21,0.2853,15
2022-03-22,0.3269,34
2022-03-23,0.3176,21
2022-03-24,0.5132,33
2022-03-25,0.4027,30
2022-03-26,0.0860,7
2022-03-27,0.5425,11
2022-03-28,0.2951,23
2022-03-29,0.3703,41
2022-03-30,0.2079,20
2022-03-31,0.4581,30
2022-04-01,0.3364,33
2022-04-02,0.2688,14
2022-04-03,-0.0244,5
2022-04-04,0.2816,39
2022-04-05,0.4170,31
2022-04-06,0.2404,37
2022-04-07,0.3889,31
2022-04-08,0.1702,33
2022-04-09,0.4617,10
2022-04-10,0.5230,2
2022-04-11,0.1947,32
2022-04-12,0.2487,36
2022-04-13,0.4520,34
2022-04-14,0.2811,34
2022-04-15,0.4939,16
2022-04-16,0.4888,5
2022-04-17,-0.1754,7
2022-04-18,0.3710,29
2022-04-19,0.3365,22
2022-04-20,0.3331,33
2022-04-21,0.4975,34
2022-04-22,0.2479,34
2022-04-23,0.0795,6
2022-04-24,0.0000,2
2022-04-25,0.3546,33
2022-04-26,0.4222,18
2022-04-27,0.3548,22
2022-04-28,0.4231,9
2022-04-29,0.2440,24
2022-04-30,-0.1296,5
2022-05-01,0.3620,2
2022-05-02,0.3101,21
2022-05-03,0.2861,20
2022-05-04,0.1048,19
2022-05-05,0.4314,29
2022-05-06,0.2589,28
2022-05-08,0.2256,11
2022-05-09,0.1061,13
2022-05-10,0.3501,33
2022-05-11,0.2586,29
2022-05-12,-0.0843,14
2022-05-13,-0.1647,18
2022-05-16,0.0900,22
2022-05-17,0.2102,13
2022-05-18,0.2425,28
2022-05-19,0.0626,21
2022-05-20,0.1338,27
2022-05-21,0.0887,3
2022-05-22,0.0177,3
2022-05-23,0.3257,23
2022-05-24,0.2797,11
2022-05-25,0.0757,25
2022-05-26,0.0653,16
2022-05-27,-0.0392,11
2022-05-28,-0.0903,4
2022-05-30,0.2323,15
2022-05-31,0.4465,23
2022-06-01,0.2863,20
2022-06-02,0.0257,26
2022-06-03,0.0173,18
2022-06-04,0.3210,2
2022-06-05,0.0000,2
2022-06-06,0.0249,7
2022-06-07,-0.1760,6
2022-06-08,0.3910,14
2022-06-09,0.2136,12
2022-06-10,0.2891,35
2022-06-11,-0.2886,12
2022-06-12,-0.1520,5
2022-06-13,0.0080,22
2022-06-14,0.0066,12
2022-06-15,-0.0055,25
2022-06-16,0.2142,30
2022-06-17,-0.0121,29
2022-06-18,-0.0115,13
2022-06-19,-0.1420,2
2022-06-20,0.1962,25
2022-06-21,0.1571,25
2022-06-22,0.1270,21
2022-06-23,0.2030,26
2022-06-24,0.1624,44
2022-06-25,0.4049,9
2022-06-26,0.2900,2
2022-06-27,0.3218,35
2022-06-28,0.1478,20
2022-06-29,0.1971,41
2022-06-30,0.3151,31
2022-07-01,0.0318,32
2022-07-02,0.0644,9
2022-07-03,-0.2565,2
2022-07-04,-0.1390,3
2022-07-05,-0.0442,28
2022-07-06,0.2022,38
2022-07-07,0.2222,27
2022-07-08,0.2500,27
2022-07-09,0.2967,9
2022-07-11,0.1446,13
2022-07-12,0.2108,32
2022-07-13,0.1087,38
2022-07-14,0.2653,3
2022-07-15,0.1599,28
2022-07-16,0.4480,3
2022-07-17,0.4230,3
2022-07-18,0.3999,48
2022-07-19,0.3755,42
2022-07-20,0.3006,26
2022-07-21,0.2993,28
2022-07-22,0.4356,36
2022-07-25,-0.0254,19
2022-07-26,0.2686,36
2022-07-27,0.1569,43
2022-07-28,0.0780,33
2022-07-29,0.3497,35
2022-07-30,0.4540,2
2022-07-31,0.0467,13
2022-08-01,0.1367,32
2022-08-02,0.2946,34
2022-08-03,-0.0144,29
2022-08-04,0.3316,30
2022-08-05,0.3479,32
2022-08-06,0.0366,7
2022-08-07,0.2709,7
2022-08-08,0.3345,34
2022-08-09,0.1828,38
2022-08-10,0.3831,13
2022-08-11,0.2323,31
2022-08-12,0.2491,31
2022-08-13,0.1904,14
2022-08-14,-0.0840,3
2022-08-15,0.4440,26
2022-08-16,0.0727,12
2022-08-17,0.2093,27
2022-08-18,0.0833,39
2022-08-19,0.1215,39
2022-08-20,-0.1703,4
2022-08-21,-0.0632,5
2022-08-22,-0.0415,31
2022-08-23,0.2370,31
2022-08-24,0.2740,28
2022-08-25,0.3804,18
2022-08-26,0.2526,33
2022-08-28,0.0642,5
2022-08-29,0.1153,24
2022-08-30,0.1659,29
2022-08-31,-0.0802,9
2022-09-01,0.1255,27
